,MI-3,MI-5,MA-1,CO-4,CO-7,IL-3,NJ-ALL,IA-9,IA-8,IA-15,IA-4,OH-8,IA-2
MI-3,1.0,0.938697822515,-0.675139289536,-0.534523388527,-0.0872096506626,-0.265841249765,-0.24819749923,-0.457343406158,0.155808512195,0.0226237931438,Nan,0.378819401147,-0.370999515193
MI-5,0.938697822515,1.0,-0.706937611734,-0.614752492657,-0.16738147779,-0.253088429738,-0.388458311437,-0.516828610228,0.0317290770946,-0.00328416771183,Nan,0.303545348794,-0.450515689441
MA-1,-0.675139289536,-0.706937611734,1.0,0.530069514966,0.49038930996,0.419052531811,0.405886905919,0.778284389206,0.103237537975,-0.113564337476,Nan,-0.317636704899,0.579771944881
CO-4,-0.534523388527,-0.614752492657,0.530069514966,1.0,0.378307929986,0.178126616718,0.351280551368,0.425826457044,0.148463221475,-0.0724786028814,Nan,-0.455495243685,0.421457759285
CO-7,-0.0872096506626,-0.16738147779,0.49038930996,0.378307929986,1.0,0.249648518861,0.389425068803,0.54346832646,0.304366294912,-0.134300157473,Nan,-0.136859879915,0.350748640723
IL-3,-0.265841249765,-0.253088429738,0.419052531811,0.178126616718,0.249648518861,1.0,0.68971742315,0.351804026752,0.362842816234,-0.0799827918689,Nan,0.244960813726,0.168148265498
NJ-ALL,-0.24819749923,-0.388458311437,0.405886905919,0.351280551368,0.389425068803,0.68971742315,1.0,0.583180403855,0.56219117998,-0.111350167865,Nan,0.43657751848,0.461753986817
IA-9,-0.457343406158,-0.516828610228,0.778284389206,0.425826457044,0.54346832646,0.351804026752,0.583180403855,1.0,0.572505324115,0.00739484693291,Nan,-0.113051311511,0.844764325445
IA-8,0.155808512195,0.0317290770946,0.103237537975,0.148463221475,0.304366294912,0.362842816234,0.56219117998,0.572505324115,1.0,0.0674101106466,Nan,0.219844726379,0.669315324898
IA-15,0.0226237931438,-0.00328416771183,-0.113564337476,-0.0724786028814,-0.134300157473,-0.0799827918689,-0.111350167865,0.00739484693291,0.0674101106466,1.0,Nan,-0.224123259425,0.00916634721551
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,0.378819401147,0.303545348794,-0.317636704899,-0.455495243685,-0.136859879915,0.244960813726,0.43657751848,-0.113051311511,0.219844726379,-0.224123259425,Nan,1.0,-0.120278754556
IA-2,-0.370999515193,-0.450515689441,0.579771944881,0.421457759285,0.350748640723,0.168148265498,0.461753986817,0.844764325445,0.669315324898,0.00916634721551,Nan,-0.120278754556,1.0
