,MI-3,MI-5,MA-1,CO-4,CO-7,IL-3,NJ-ALL,IA-9,IA-8,IA-15,IA-4,OH-8,IA-2
MI-3,1.0,Nan,-0.0270447332785,Nan,0.268471463411,Nan,0.208757888373,0.58810941752,0.583424962789,0.305641566685,0.285747169952,Nan,0.157443908695
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,-0.0270447332785,Nan,1.0,Nan,-0.317679375857,Nan,-0.000298966411488,-0.380661446065,0.453090417456,0.559067465919,0.596292600992,Nan,0.5005495584
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.268471463411,Nan,-0.317679375857,Nan,1.0,Nan,0.102960300809,0.353086085373,-0.0753288653391,-0.0992321385101,-0.236066445436,Nan,-0.338573354007
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,0.208757888373,Nan,-0.000298966411488,Nan,0.102960300809,Nan,1.0,-0.324557119271,0.117624281234,0.124854836947,0.221547881402,Nan,-0.120055836545
IA-9,0.58810941752,Nan,-0.380661446065,Nan,0.353086085373,Nan,-0.324557119271,1.0,0.155732726255,0.122159589457,0.000466796542084,Nan,0.131874787263
IA-8,0.583424962789,Nan,0.453090417456,Nan,-0.0753288653391,Nan,0.117624281234,0.155732726255,1.0,0.264997192158,0.328010352635,Nan,0.355697569508
IA-15,0.305641566685,Nan,0.559067465919,Nan,-0.0992321385101,Nan,0.124854836947,0.122159589457,0.264997192158,1.0,0.644485006738,Nan,0.364827560877
IA-4,0.285747169952,Nan,0.596292600992,Nan,-0.236066445436,Nan,0.221547881402,0.000466796542084,0.328010352635,0.644485006738,1.0,Nan,0.779751178809
OH-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,0.157443908695,Nan,0.5005495584,Nan,-0.338573354007,Nan,-0.120055836545,0.131874787263,0.355697569508,0.364827560877,0.779751178809,Nan,1.0
