,MI-3,MI-5,MA-1,CO-4,CO-7,IL-3,NJ-ALL,IA-9,IA-8,IA-15,IA-4,OH-8,IA-2
MI-3,1.0,-0.124580020962,0.153154825166,0.311791294041,-0.039598257485,0.411211709081,-0.418880149898,0.41048590818,0.208490091058,0.10669348497,Nan,0.511157012883,0.0451741647562
MI-5,-0.124580020962,1.0,0.631315580473,0.261758366687,0.152673377643,0.129815248579,0.694952874985,0.573089822393,0.537737207379,0.594792431523,Nan,0.739866375484,0.626143335822
MA-1,0.153154825166,0.631315580473,1.0,0.398106677671,0.0143841153289,0.115314821351,0.329097704511,0.427478993622,0.406378977806,0.298222642252,Nan,0.255715868731,0.304574571932
CO-4,0.311791294041,0.261758366687,0.398106677671,1.0,0.0420549623124,-0.262755600519,-0.378743501944,0.324659066425,0.00992908441858,0.0226060979433,Nan,-0.241784874359,0.0714685722412
CO-7,-0.039598257485,0.152673377643,0.0143841153289,0.0420549623124,1.0,0.34300428359,0.321541893132,-0.166866873485,0.251268503288,0.111580096567,Nan,0.296782949366,0.153165924442
IL-3,0.411211709081,0.129815248579,0.115314821351,-0.262755600519,0.34300428359,1.0,0.152171091122,0.00685991955677,0.419285102874,0.175062471276,Nan,0.617608542812,0.237031804727
NJ-ALL,-0.418880149898,0.694952874985,0.329097704511,-0.378743501944,0.321541893132,0.152171091122,1.0,0.163941429565,0.551849268366,0.486507254971,Nan,0.790364413482,0.544428177207
IA-9,0.41048590818,0.573089822393,0.427478993622,0.324659066425,-0.166866873485,0.00685991955677,0.163941429565,1.0,0.126007669962,0.394108403939,Nan,0.110506387003,0.209961085391
IA-8,0.208490091058,0.537737207379,0.406378977806,0.00992908441858,0.251268503288,0.419285102874,0.551849268366,0.126007669962,1.0,0.630183127833,Nan,0.568054407832,0.844939323498
IA-15,0.10669348497,0.594792431523,0.298222642252,0.0226060979433,0.111580096567,0.175062471276,0.486507254971,0.394108403939,0.630183127833,1.0,Nan,0.412520090936,0.759927535331
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,0.511157012883,0.739866375484,0.255715868731,-0.241784874359,0.296782949366,0.617608542812,0.790364413482,0.110506387003,0.568054407832,0.412520090936,Nan,1.0,0.29927427743
IA-2,0.0451741647562,0.626143335822,0.304574571932,0.0714685722412,0.153165924442,0.237031804727,0.544428177207,0.209961085391,0.844939323498,0.759927535331,Nan,0.29927427743,1.0
