,MI-3,MI-5,MA-1,CO-4,CO-7,IL-3,NJ-ALL,IA-9,IA-8,IA-15,IA-4,OH-8,IA-2
MI-3,1.0,Nan,-0.410612985475,Nan,-0.213437140003,-0.358717984008,-0.18786869586,0.756591641484,-0.591358583877,-0.575316430174,Nan,-0.666693595349,-0.427359493167
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,-0.410612985475,Nan,1.0,Nan,-0.186282450357,0.195847392501,0.529498391943,-0.140288970683,0.602734501982,0.348291593321,Nan,0.559108297199,0.176517405417
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,-0.213437140003,Nan,-0.186282450357,Nan,1.0,-0.141517888873,-0.0591155897002,-0.185738251219,-0.0264980144434,0.404881301169,Nan,-0.136615877554,0.513248835914
IL-3,-0.358717984008,Nan,0.195847392501,Nan,-0.141517888873,1.0,0.293423357682,-0.276976287273,0.514560229907,0.116002605847,Nan,-0.187786371306,0.0460047820713
NJ-ALL,-0.18786869586,Nan,0.529498391943,Nan,-0.0591155897002,0.293423357682,1.0,-0.252946204456,0.0734806593812,0.259728173165,Nan,-0.521774354011,0.114319418816
IA-9,0.756591641484,Nan,-0.140288970683,Nan,-0.185738251219,-0.276976287273,-0.252946204456,1.0,-0.220908776693,-0.260712109299,Nan,nan,-0.193586805369
IA-8,-0.591358583877,Nan,0.602734501982,Nan,-0.0264980144434,0.514560229907,0.0734806593812,-0.220908776693,1.0,0.845249843071,Nan,0.415048735065,0.452703925473
IA-15,-0.575316430174,Nan,0.348291593321,Nan,0.404881301169,0.116002605847,0.259728173165,-0.260712109299,0.845249843071,1.0,Nan,0.510119500653,0.718040658805
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,-0.666693595349,Nan,0.559108297199,Nan,-0.136615877554,-0.187786371306,-0.521774354011,nan,0.415048735065,0.510119500653,Nan,1.0,0.0746626506891
IA-2,-0.427359493167,Nan,0.176517405417,Nan,0.513248835914,0.0460047820713,0.114319418816,-0.193586805369,0.452703925473,0.718040658805,Nan,0.0746626506891,1.0
