,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,1.0,Nan,Nan,Nan,Nan,0.18039946879,Nan,Nan,-0.528385827455,Nan,Nan,Nan,0.650453572703,Nan,Nan,Nan,Nan,Nan,Nan,-0.206798020154,0.451299361072,Nan,0.295349641267
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-8,0.18039946879,Nan,Nan,Nan,Nan,1.0,Nan,Nan,-0.384650310818,Nan,Nan,Nan,0.593908857395,Nan,Nan,Nan,Nan,Nan,Nan,-0.741462221346,0.0630256898805,Nan,0.293467989374
FL-7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,-0.528385827455,Nan,Nan,Nan,Nan,-0.384650310818,Nan,Nan,1.0,Nan,Nan,Nan,-0.217921429601,Nan,Nan,Nan,Nan,Nan,Nan,0.255314215899,-0.14177434228,Nan,-0.230931654839
MA-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,0.650453572703,Nan,Nan,Nan,Nan,0.593908857395,Nan,Nan,-0.217921429601,Nan,Nan,Nan,1.0,Nan,Nan,Nan,Nan,Nan,Nan,-0.844430426824,-0.435052319667,Nan,0.401595775264
MN-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NY-3,-0.206798020154,Nan,Nan,Nan,Nan,-0.741462221346,Nan,Nan,0.255314215899,Nan,Nan,Nan,-0.844430426824,Nan,Nan,Nan,Nan,Nan,Nan,1.0,-0.937878596112,Nan,-0.297710174496
NC-3,0.451299361072,Nan,Nan,Nan,Nan,0.0630256898805,Nan,Nan,-0.14177434228,Nan,Nan,Nan,-0.435052319667,Nan,Nan,Nan,Nan,Nan,Nan,-0.937878596112,1.0,Nan,0.0397043523556
IA-15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,0.295349641267,Nan,Nan,Nan,Nan,0.293467989374,Nan,Nan,-0.230931654839,Nan,Nan,Nan,0.401595775264,Nan,Nan,Nan,Nan,Nan,Nan,-0.297710174496,0.0397043523556,Nan,1.0
