,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,1.0,-0.409399827097,-0.357040115119,0.301831332073,-0.392898925763,-0.0100513625255,Nan,Nan,-0.304179403882,-0.266952765428,Nan,-0.15218366235,-0.0770756239093,-0.304489798038,0.692766280558,0.31096142062,0.43765083114,-0.119924120729,Nan,-0.511378096859,-0.338030448829,0.022143535028,-0.0710371518037
CO-4,-0.409399827097,1.0,0.327632862751,-0.12337316295,0.608640775274,0.288349798776,Nan,Nan,0.58472417895,0.35493126527,Nan,0.358863013572,0.334523144829,0.0505611875055,-0.623984798826,-0.545153043578,-0.618651342058,-0.137121084309,Nan,0.316639439588,0.279421517105,0.0500245889268,-0.0752822463625
CO-7,-0.357040115119,0.327632862751,1.0,0.104608313814,0.376312105647,0.272825652993,Nan,Nan,0.230196949662,0.223612906377,Nan,-0.270169334036,0.37887722208,0.188237899881,-0.165356941477,0.0893947580321,0.0453284926995,0.106963129803,Nan,0.459094147054,0.132181348247,-0.179150014833,0.530519948591
IL-3,0.301831332073,-0.12337316295,0.104608313814,1.0,0.173216609773,0.426859225076,Nan,Nan,0.0752875899444,0.555442364788,Nan,-0.586786734369,0.747396697671,0.4531714407,0.532517943278,0.0361823132807,0.257223974326,0.401322853554,Nan,0.146289246871,-0.476902193276,-0.169336998302,0.129508934056
IA-9,-0.392898925763,0.608640775274,0.376312105647,0.173216609773,1.0,0.564821429844,Nan,Nan,0.777946150526,0.334152185693,Nan,-0.311249625553,0.522634412906,0.0704034700982,-0.46767890251,-0.477251151149,-0.426194466302,-0.239376366882,Nan,0.432287227201,0.222427247759,0.0497665108721,0.1049237086
IA-8,-0.0100513625255,0.288349798776,0.272825652993,0.426859225076,0.564821429844,1.0,Nan,Nan,0.662535506825,0.436828019092,Nan,-0.214111828555,0.571426201247,0.119353736001,0.0483472337593,0.186455955301,0.104463415559,0.343193157387,Nan,0.399375295083,-0.452062908735,0.0959641794309,0.0818760884301
FL-7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,-0.304179403882,0.58472417895,0.230196949662,0.0752875899444,0.777946150526,0.662535506825,Nan,Nan,1.0,0.366135911259,Nan,-0.262710901655,0.432117222713,0.100052596904,-0.429705760958,-0.379483032583,-0.363805862633,-0.142705059158,Nan,0.273810857003,0.135625400726,0.0330867365333,0.0160325068332
MA-1,-0.266952765428,0.35493126527,0.223612906377,0.555442364788,0.334152185693,0.436828019092,Nan,Nan,0.366135911259,1.0,Nan,-0.51437727183,0.913537822479,0.728428154024,-0.0382607517479,-0.130513988267,-0.123786664925,0.604368666297,Nan,0.654187864931,-0.0082554559444,-0.210979098925,0.137962364593
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CA-4,-0.15218366235,0.358863013572,-0.270169334036,-0.586786734369,-0.311249625553,-0.214111828555,Nan,Nan,-0.262710901655,-0.51437727183,Nan,1.0,-0.489533354354,-0.456547770539,-0.249037129408,0.243896485193,-0.117508486816,-0.132909697428,Nan,-0.525423367857,0.717179274884,0.0265472510056,-0.173457018599
