,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,Nan,Nan,1.0,Nan,0.347452319549,-0.0781744274387,nan,-0.146732220926,-0.298516193552,-0.156681725134,-0.108162054103,Nan,0.162628115458,Nan,Nan,0.197946263023,Nan,Nan,-0.0928414050969,Nan,-0.0391108579543,-0.0736033604791,Nan
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-9,Nan,Nan,0.347452319549,Nan,1.0,0.0442944933698,nan,-0.0977410011809,-0.0325658684399,0.678941084813,0.69284900091,Nan,-0.262130596205,Nan,Nan,0.262802038871,Nan,Nan,-0.418987316803,Nan,0.276492835046,0.0441739825108,Nan
IA-8,Nan,Nan,-0.0781744274387,Nan,0.0442944933698,1.0,nan,0.381560563318,0.388282374037,-0.656726133117,-0.391135089989,Nan,0.227965438342,Nan,Nan,0.695699799205,Nan,Nan,0.189273688814,Nan,-0.336081795074,0.255454346336,Nan
FL-7,Nan,Nan,nan,Nan,nan,nan,1.0,nan,nan,nan,0.390202056317,Nan,0.895978605194,Nan,Nan,nan,Nan,Nan,nan,Nan,0.682942179849,nan,Nan
IA-4,Nan,Nan,-0.146732220926,Nan,-0.0977410011809,0.381560563318,nan,1.0,0.757083069293,-0.371535211726,-0.508138494854,Nan,0.284244283466,Nan,Nan,0.448071542112,Nan,Nan,0.383283584133,Nan,-0.267651961861,0.56997793443,Nan
IA-2,Nan,Nan,-0.298516193552,Nan,-0.0325658684399,0.388282374037,nan,0.757083069293,1.0,-0.298012312924,-0.284094938681,Nan,-0.132497063899,Nan,Nan,0.246510985975,Nan,Nan,0.285379489151,Nan,-0.385094367976,0.354492215717,Nan
MA-1,Nan,Nan,-0.156681725134,Nan,0.678941084813,-0.656726133117,nan,-0.371535211726,-0.298012312924,1.0,0.166378307706,Nan,-0.31466748181,Nan,Nan,-0.893455441986,Nan,Nan,-0.643231606408,Nan,0.278440170715,0.00901565507664,Nan
CA-2,Nan,Nan,-0.108162054103,Nan,0.69284900091,-0.391135089989,0.390202056317,-0.508138494854,-0.284094938681,0.166378307706,1.0,Nan,-0.715922836466,Nan,Nan,-0.38087153025,Nan,Nan,-0.469604823009,Nan,0.07328218718,-0.175717304579,Nan
CA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,Nan,Nan,0.162628115458,Nan,-0.262130596205,0.227965438342,0.895978605194,0.284244283466,-0.132497063899,-0.31466748181,-0.715922836466,Nan,1.0,Nan,Nan,0.376963082679,Nan,Nan,0.425428656643,Nan,-0.338935637299,0.107071730803,Nan
MN-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-3,Nan,Nan,0.197946263023,Nan,0.262802038871,0.695699799205,nan,0.448071542112,0.246510985975,-0.893455441986,-0.38087153025,Nan,0.376963082679,Nan,Nan,1.0,Nan,Nan,0.331959692432,Nan,-0.0941781950501,0.263881699576,Nan
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,Nan,Nan,-0.0928414050969,Nan,-0.418987316803,0.189273688814,nan,0.383283584133,0.285379489151,-0.643231606408,-0.469604823009,Nan,0.425428656643,Nan,Nan,0.331959692432,Nan,Nan,1.0,Nan,-0.311521890087,-0.0224187874416,Nan
NY-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NC-3,Nan,Nan,-0.0391108579543,Nan,0.276492835046,-0.336081795074,0.682942179849,-0.267651961861,-0.385094367976,0.278440170715,0.07328218718,Nan,-0.338935637299,Nan,Nan,-0.0941781950501,Nan,Nan,-0.311521890087,Nan,1.0,-0.153860354287,Nan
IA-15,Nan,Nan,-0.0736033604791,Nan,0.0441739825108,0.255454346336,nan,0.56997793443,0.354492215717,0.00901565507664,-0.175717304579,Nan,0.107071730803,Nan,Nan,0.263881699576,Nan,Nan,-0.0224187874416,Nan,-0.153860354287,1.0,Nan
OH-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
