,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,1.0,-0.112590320328,0.316017976615,0.20608511218,-0.285133078149,0.151416734044,Nan,Nan,-0.326493948713,0.202640678072,Nan,0.677057361248,-0.469259563255,0.0833819588317,-0.0921406249204,0.689143828344,-0.265856119415,0.656128841085,Nan,-0.143546173541,-0.0891400564337,-0.195682204691,0.243136172843
CO-4,-0.112590320328,1.0,0.0964710941141,-0.360959369355,0.188324224818,0.0341085447307,Nan,Nan,0.0822959654158,-0.0533577651277,Nan,0.124024898593,-0.384991376174,-0.012180489132,-0.104043805175,0.0832851244908,0.0829303487554,-0.215158100396,Nan,0.0761125145626,-0.155304511754,0.0155525651179,0.133914940785
CO-7,0.316017976615,0.0964710941141,1.0,0.418826880024,-0.32828151203,0.197849172712,Nan,Nan,0.0408629392405,0.302107342294,Nan,-0.202263053,0.304298997117,0.292932901021,0.0203726515193,0.18826264352,0.222341824462,0.347179571246,Nan,0.0858978892308,-0.214943907727,0.0948543358985,0.204644372465
IL-3,0.20608511218,-0.360959369355,0.418826880024,1.0,0.112406785241,0.452396439717,Nan,Nan,0.253133273424,0.338568859295,Nan,-0.296867942879,0.441049953029,0.404965971512,0.0124337217409,0.435096814748,0.282722328168,0.332202110523,Nan,0.348750882177,0.29906717574,0.389379105836,-0.142022658542
IA-9,-0.285133078149,0.188324224818,-0.32828151203,0.112406785241,1.0,0.146256784354,Nan,Nan,0.28806380833,0.22809811065,Nan,-0.408927649428,0.319722951642,0.0499772390405,-0.190638547401,-0.0735026404509,0.54631463217,-0.409660378962,Nan,0.447877195813,-0.146087919551,0.35296724709,0.088777952642
IA-8,0.151416734044,0.0341085447307,0.197849172712,0.452396439717,0.146256784354,1.0,Nan,Nan,0.843115455265,0.652313444642,Nan,-0.415978023991,0.352714263703,0.714566114095,-0.252094342067,-0.0241131059392,0.571014317056,0.194802693686,Nan,0.796658047682,0.133825627674,0.774087738183,0.323597214858
FL-7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,-0.326493948713,0.0822959654158,0.0408629392405,0.253133273424,0.28806380833,0.843115455265,Nan,Nan,1.0,0.458418034708,Nan,-0.442446354815,0.371223810198,0.764751889162,-0.460134152121,-0.35043641823,0.620180704848,-0.241669718866,Nan,0.734757022634,0.0481438750241,0.839962056667,0.453286230193
MA-1,0.202640678072,-0.0533577651277,0.302107342294,0.338568859295,0.22809811065,0.652313444642,Nan,Nan,0.458418034708,1.0,Nan,-0.452031248258,0.560169822265,0.545115403974,-0.260062954721,-0.194958511918,0.756864696201,0.375674335838,Nan,0.649284410171,0.180048196604,0.459126188114,0.383067609059
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CA-4,0.677057361248,0.124024898593,-0.202263053,-0.296867942879,-0.408927649428,-0.415978023991,Nan,Nan,-0.442446354815,-0.452031248258,Nan,1.0,-0.714874553354,-0.60136798959,-0.0339034890202,0.762421154367,-0.696520402408,-0.379984943807,Nan,-0.409358802176,-0.306254984491,-0.421421423441,0.0193051042853
NJ-ALL,-0.469259563255,-0.384991376174,0.304298997117,0.441049953029,0.319722951642,0.352714263703,Nan,Nan,0.371223810198,0.560169822265,Nan,-0.714874553354,1.0,0.413470453727,0.356720875291,-0.471073889216,0.685274151158,0.410434921301,Nan,0.405044937235,0.358736711376,0.314192222114,-0.185896014843
MN-1,0.0833819588317,-0.012180489132,0.292932901021,0.404965971512,0.0499772390405,0.714566114095,Nan,Nan,0.764751889162,0.545115403974,Nan,-0.60136798959,0.413470453727,1.0,-0.532023803047,-0.36032991335,0.690831741125,0.112482144628,Nan,0.797587949866,0.0576781877562,0.501745263862,0.211104437875
IL-2,-0.0921406249204,-0.104043805175,0.0203726515193,0.0124337217409,-0.190638547401,-0.252094342067,Nan,Nan,-0.460134152121,-0.260062954721,Nan,-0.0339034890202,0.356720875291,-0.532023803047,1.0,0.210344223029,-0.435310863372,0.225478236489,Nan,-0.442959780524,0.31300887908,-0.3987299806,-0.477215923492
MI-3,0.689143828344,0.0832851244908,0.18826264352,0.435096814748,-0.0735026404509,-0.0241131059392,Nan,Nan,-0.35043641823,-0.194958511918,Nan,0.762421154367,-0.471073889216,-0.36032991335,0.210344223029,1.0,-0.467924168097,0.0997703012502,Nan,-0.065059571474,0.0295008263545,-0.198320945067,-0.252032421759
MI-5,-0.265856119415,0.0829303487554,0.222341824462,0.282722328168,0.54631463217,0.571014317056,Nan,Nan,0.620180704848,0.756864696201,Nan,-0.696520402408,0.685274151158,0.690831741125,-0.435310863372,-0.467924168097,1.0,-0.11857163578,Nan,0.809741514476,0.0718639834807,0.532726074877,0.325969755422
MI-4,0.656128841085,-0.215158100396,0.347179571246,0.332202110523,-0.409660378962,0.194802693686,Nan,Nan,-0.241669718866,0.375674335838,Nan,-0.379984943807,0.410434921301,0.112482144628,0.225478236489,0.0997703012502,-0.11857163578,1.0,Nan,-0.0777611566614,0.218606054083,-0.0640116543369,0.0621319312506
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NY-3,-0.143546173541,0.0761125145626,0.0858978892308,0.348750882177,0.447877195813,0.796658047682,Nan,Nan,0.734757022634,0.649284410171,Nan,-0.409358802176,0.405044937235,0.797587949866,-0.442959780524,-0.065059571474,0.809741514476,-0.0777611566614,Nan,1.0,0.0252727418639,0.56763916854,0.335513636373
NC-3,-0.0891400564337,-0.155304511754,-0.214943907727,0.29906717574,-0.146087919551,0.133825627674,Nan,Nan,0.0481438750241,0.180048196604,Nan,-0.306254984491,0.358736711376,0.0576781877562,0.31300887908,0.0295008263545,0.0718639834807,0.218606054083,Nan,0.0252727418639,1.0,0.0758771923389,-0.456905692242
IA-15,-0.195682204691,0.0155525651179,0.0948543358985,0.389379105836,0.35296724709,0.774087738183,Nan,Nan,0.839962056667,0.459126188114,Nan,-0.421421423441,0.314192222114,0.501745263862,-0.3987299806,-0.198320945067,0.532726074877,-0.0640116543369,Nan,0.56763916854,0.0758771923389,1.0,0.398233845894
OH-8,0.243136172843,0.133914940785,0.204644372465,-0.142022658542,0.088777952642,0.323597214858,Nan,Nan,0.453286230193,0.383067609059,Nan,0.0193051042853,-0.185896014843,0.211104437875,-0.477215923492,-0.252032421759,0.325969755422,0.0621319312506,Nan,0.335513636373,-0.456905692242,0.398233845894,1.0
