,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,1.0,Nan,-0.031708281641,0.696665951202,-0.437995181085,-0.389154936825,0.674751732315,-0.1763737419,-0.584775236344,-0.510699588382,-0.0834584455514,0.369705659689,0.520836216392,0.434447547075,Nan,-0.121893749981,Nan,Nan,0.204564736601,Nan,0.550359454232,-0.532640914133,-0.333482507614
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,-0.031708281641,Nan,1.0,0.0352304610928,0.315112101173,-0.0603150624197,0.215987118009,0.398905549921,-0.109211422855,0.232290898003,-0.235681144479,0.215025221776,0.330519264874,0.211337619872,Nan,0.400196721885,Nan,Nan,0.173684507745,Nan,-0.16387868828,0.0861182111487,0.196305683704
IL-3,0.696665951202,Nan,0.0352304610928,1.0,-0.274966554334,-0.00447222440227,0.266055145269,-0.042945359741,-0.265700347986,-0.291419769632,-0.499137924762,0.0890566587367,0.556089189387,0.436478244545,Nan,-0.126606557513,Nan,Nan,0.181659736905,Nan,0.0505814412656,-0.194466994527,-0.190866643845
IA-9,-0.437995181085,Nan,0.315112101173,-0.274966554334,1.0,0.189539546498,-0.383865402846,0.357159747755,0.220210432268,0.637779404372,-0.461405210651,0.0125768891131,0.203150654579,0.0832502539726,Nan,0.54982805874,Nan,Nan,-0.0962308635001,Nan,-0.639474310077,0.348806147028,0.198873700996
IA-8,-0.389154936825,Nan,-0.0603150624197,-0.00447222440227,0.189539546498,1.0,-0.323281811441,-0.166367637315,0.606996970021,0.459787010812,-0.27023090237,0.144747152972,0.280979489912,-0.0146278051426,Nan,-0.0292256999957,Nan,Nan,-0.324099988737,Nan,-0.490840383355,0.874646938062,0.339330215129
FL-7,0.674751732315,Nan,0.215987118009,0.266055145269,-0.383865402846,-0.323281811441,1.0,-0.0115118739234,-0.530455100107,-0.239580669128,0.0519048358024,0.77476208511,0.243166289671,0.507415766082,Nan,0.283009911206,Nan,Nan,0.565467911808,Nan,0.689907121955,-0.605389312267,-0.427204296979
IA-4,-0.1763737419,Nan,0.398905549921,-0.042945359741,0.357159747755,-0.166367637315,-0.0115118739234,1.0,-0.0451624299756,0.450444432227,-0.323237675374,0.148711653728,0.30846508245,0.293959591084,Nan,0.687170766513,Nan,Nan,0.26019283388,Nan,-0.391360030725,0.17844983667,0.0957291955437
IA-2,-0.584775236344,Nan,-0.109211422855,-0.265700347986,0.220210432268,0.606996970021,-0.530455100107,-0.0451624299756,1.0,0.532940385574,-0.402204265045,-0.422379033374,-0.111701475764,0.0141340030389,Nan,0.292336190041,Nan,Nan,-0.0512023591139,Nan,-0.393499048593,0.371750237264,0.103961805243
MA-1,-0.510699588382,Nan,0.232290898003,-0.291419769632,0.637779404372,0.459787010812,-0.239580669128,0.450444432227,0.532940385574,1.0,-0.534068857174,0.0836596119149,0.112346284465,0.234285416801,Nan,0.561687512738,Nan,Nan,0.0235197681854,Nan,-0.588309162612,0.568189169429,0.141135475452
