,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,Nan,0.614940033124,-0.502306082943,-0.764897933617,Nan,0.24358093634,Nan,0.282101102592,-0.341156364534,0.215834562648,Nan,0.514195729438,0.228539302065,Nan,Nan,Nan,0.256565940531
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,0.614940033124,Nan,1.0,-0.653607125132,-0.469604823009,Nan,0.0659632391326,Nan,0.257178334999,-0.289620922867,0.415583403269,Nan,0.122670559153,-0.0242860225193,Nan,Nan,Nan,0.271371636862
MA-1,-0.502306082943,Nan,-0.653607125132,1.0,-0.141018790529,Nan,0.332234819017,Nan,-0.307134449153,0.644228822442,-0.195615630505,Nan,0.115824149017,0.0379777029245,Nan,Nan,Nan,-0.441376164633
CA-2,-0.764897933617,Nan,-0.469604823009,-0.141018790529,1.0,Nan,-0.388464352027,Nan,-0.590222092278,0.426892476223,-0.453194140553,Nan,-0.52752463984,-0.302533135877,Nan,Nan,Nan,-0.304953834334
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.24358093634,Nan,0.0659632391326,0.332234819017,-0.388464352027,Nan,1.0,Nan,-0.42670991234,0.277131051141,0.154301874561,Nan,0.412821957921,0.222395052089,Nan,Nan,Nan,-0.173294099382
CA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,0.282101102592,Nan,0.257178334999,-0.307134449153,-0.590222092278,Nan,-0.42670991234,Nan,1.0,-0.223454595298,0.342991843097,Nan,-0.0851297262442,0.287159449103,Nan,Nan,Nan,-0.119929576376
IA-9,-0.341156364534,Nan,-0.289620922867,0.644228822442,0.426892476223,Nan,0.277131051141,Nan,-0.223454595298,1.0,0.313547249802,Nan,0.403301026013,0.153602005882,Nan,Nan,Nan,-0.365767419196
IA-8,0.215834562648,Nan,0.415583403269,-0.195615630505,-0.453194140553,Nan,0.154301874561,Nan,0.342991843097,0.313547249802,1.0,Nan,0.359493807267,0.0310160817009,Nan,Nan,Nan,-0.012346158338
MN-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-15,0.514195729438,Nan,0.122670559153,0.115824149017,-0.52752463984,Nan,0.412821957921,Nan,-0.0851297262442,0.403301026013,0.359493807267,Nan,1.0,0.300672532921,Nan,Nan,Nan,0.0520520784882
IA-4,0.228539302065,Nan,-0.0242860225193,0.0379777029245,-0.302533135877,Nan,0.222395052089,Nan,0.287159449103,0.153602005882,0.0310160817009,Nan,0.300672532921,1.0,Nan,Nan,Nan,-0.199459074188
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,0.256565940531,Nan,0.271371636862,-0.441376164633,-0.304953834334,Nan,-0.173294099382,Nan,-0.119929576376,-0.365767419196,-0.012346158338,Nan,0.0520520784882,-0.199459074188,Nan,Nan,Nan,1.0
