,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,0.711873010897,0.226434991115,0.265672616071,Nan,0.174063822326,0.296427066247,-0.44503026563,0.684981168119,-0.0266348664206,-0.350290799676,0.625136696433,0.424859818502,Nan,Nan,-0.305841279685,-0.265912298685,-0.324349660217
MI-5,0.711873010897,1.0,0.467843142544,0.72451227456,Nan,0.314921261494,0.54384161141,-0.269976223335,0.782552502929,-0.103757497695,0.154440924801,0.594292138876,0.47279203543,Nan,Nan,0.0206185239273,-0.0107232936975,0.0179859702744
ID-13,0.226434991115,0.467843142544,1.0,0.460921451369,Nan,0.376737174819,0.638794077843,-0.204209492084,0.295271512933,-0.095257715989,0.00243017682364,0.00422543879388,0.239209086228,Nan,Nan,-0.182112082506,-0.050600248419,-0.0654412383277
MA-1,0.265672616071,0.72451227456,0.460921451369,1.0,Nan,0.241943180442,0.523400330642,-0.0869610076731,0.471178727389,-0.176020428668,0.280922976075,0.226078551995,0.342921478859,Nan,Nan,0.0929703418222,0.0641233713772,0.0327426108142
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-4,0.174063822326,0.314921261494,0.376737174819,0.241943180442,Nan,1.0,0.796344129372,-0.1729419515,0.238622828486,-0.275339279833,-0.144040256645,-0.0148856791742,0.0825419725194,Nan,Nan,0.0217240662224,0.134325461188,-0.120582434171
CO-7,0.296427066247,0.54384161141,0.638794077843,0.523400330642,Nan,0.796344129372,1.0,-0.222121291663,0.365207404257,-0.327904293107,-0.15245009131,0.102139803856,0.254916478821,Nan,Nan,-0.134790129139,-0.0840767770699,-0.188248738889
CA-4,-0.44503026563,-0.269976223335,-0.204209492084,-0.0869610076731,Nan,-0.1729419515,-0.222121291663,1.0,-0.0180126446436,-0.187884225828,0.328523486068,0.415715107873,0.0233946579957,Nan,Nan,0.0587948750497,-0.00191503119166,0.20475304728
NJ-ALL,0.684981168119,0.782552502929,0.295271512933,0.471178727389,Nan,0.238622828486,0.365207404257,-0.0180126446436,1.0,-0.129682608549,0.280041824998,0.410740848312,0.516126142316,Nan,Nan,0.293304205021,-0.0398248118595,0.168337339175
IA-9,-0.0266348664206,-0.103757497695,-0.095257715989,-0.176020428668,Nan,-0.275339279833,-0.327904293107,-0.187884225828,-0.129682608549,1.0,0.102068639626,-0.24032410447,-0.167059991832,Nan,Nan,0.145832156552,0.229103362944,-0.0535627674783
IA-8,-0.350290799676,0.154440924801,0.00243017682364,0.280922976075,Nan,-0.144040256645,-0.15245009131,0.328523486068,0.280041824998,0.102068639626,1.0,0.0835425853687,-0.0803058108855,Nan,Nan,0.55828645223,0.290833128453,0.872245245891
MN-1,0.625136696433,0.594292138876,0.00422543879388,0.226078551995,Nan,-0.0148856791742,0.102139803856,0.415715107873,0.410740848312,-0.24032410447,0.0835425853687,1.0,0.204391962784,Nan,Nan,-0.226838829198,-0.165992088556,-0.0838431474896
IA-15,0.424859818502,0.47279203543,0.239209086228,0.342921478859,Nan,0.0825419725194,0.254916478821,0.0233946579957,0.516126142316,-0.167059991832,-0.0803058108855,0.204391962784,1.0,Nan,Nan,-0.25496712615,-0.242142845318,-0.0482393669939
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,-0.305841279685,0.0206185239273,-0.182112082506,0.0929703418222,Nan,0.0217240662224,-0.134790129139,0.0587948750497,0.293304205021,0.145832156552,0.55828645223,-0.226838829198,-0.25496712615,Nan,Nan,1.0,0.406672616797,0.621000643276
OH-8,-0.265912298685,-0.0107232936975,-0.050600248419,0.0641233713772,Nan,0.134325461188,-0.0840767770699,-0.00191503119166,-0.0398248118595,0.229103362944,0.290833128453,-0.165992088556,-0.242142845318,Nan,Nan,0.406672616797,1.0,0.0776323247967
IA-2,-0.324349660217,0.0179859702744,-0.0654412383277,0.0327426108142,Nan,-0.120582434171,-0.188248738889,0.20475304728,0.168337339175,-0.0535627674783,0.872245245891,-0.0838431474896,-0.0482393669939,Nan,Nan,0.621000643276,0.0776323247967,1.0
