,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,0.789900144864,Nan,0.00054900877909,Nan,-0.449792280998,0.291026559014,-0.0718279415392,0.289893932902,-0.580272995554,0.463862803239,-0.17691353822,-0.384966911448,Nan,0.859536114457,0.539801152234,0.123832480116,-0.444359166419
MI-5,0.789900144864,1.0,Nan,-0.324499477648,Nan,-0.448100024337,0.170298254293,0.4283224542,-0.107259687261,-0.763572863646,0.319538506378,-0.399962547394,-0.132898777063,Nan,0.619822588581,0.21179225504,0.0267582192003,-0.52130908082
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,0.00054900877909,-0.324499477648,Nan,1.0,Nan,0.266919786323,0.127602313161,-0.565500989624,0.779710634806,0.436237779431,0.249423562153,0.639145868852,-0.0594240007141,Nan,0.152581450246,0.310503494095,0.0898856629108,0.285626575834
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-4,-0.449792280998,-0.448100024337,Nan,0.266919786323,Nan,1.0,-0.0271740199815,-0.220271645578,-0.156471909565,0.870680675063,0.262214778319,-0.153218175871,0.58437064106,Nan,-0.480918355983,-0.166659559489,-0.0308188242057,0.826436729435
CO-7,0.291026559014,0.170298254293,Nan,0.127602313161,Nan,-0.0271740199815,1.0,-0.197281301103,0.418256913012,-0.039028854924,0.284732919135,0.13302504485,-0.298577754254,Nan,0.298257665886,0.433846914054,0.479001123149,-0.17850079603
CA-4,-0.0718279415392,0.4283224542,Nan,-0.565500989624,Nan,-0.220271645578,-0.197281301103,1.0,-0.609121883704,-0.330012090988,-0.0880009473216,-0.457919758078,0.270033327298,Nan,-0.219830203224,-0.442263758559,-0.14192115489,-0.215855748454
NJ-ALL,0.289893932902,-0.107259687261,Nan,0.779710634806,Nan,-0.156471909565,0.418256913012,-0.609121883704,1.0,0.255748758859,0.393486210025,0.565896363334,-0.450911673088,Nan,0.556834475596,0.668938276995,0.129853909788,-0.00386731814009
IA-9,-0.580272995554,-0.763572863646,Nan,0.436237779431,Nan,0.870680675063,-0.039028854924,-0.330012090988,0.255748758859,1.0,0.352850418108,0.094749275972,0.331877707577,Nan,-0.449741526635,0.0825600275971,0.082069237181,0.641703806467
IA-8,0.463862803239,0.319538506378,Nan,0.249423562153,Nan,0.262214778319,0.284732919135,-0.0880009473216,0.393486210025,0.352850418108,1.0,-0.242616032011,0.216322437407,Nan,0.533638462597,0.583189037074,0.0898853020435,0.283642730358
MN-1,-0.17691353822,-0.399962547394,Nan,0.639145868852,Nan,-0.153218175871,0.13302504485,-0.457919758078,0.565896363334,0.094749275972,-0.242616032011,1.0,-0.219066831981,Nan,-0.0445757348994,0.0489333766039,0.0237572269822,0.0331205705077
IA-15,-0.384966911448,-0.132898777063,Nan,-0.0594240007141,Nan,0.58437064106,-0.298577754254,0.270033327298,-0.450911673088,0.331877707577,0.216322437407,-0.219066831981,1.0,Nan,-0.488654564543,-0.42942047278,0.0227980414736,0.637067283282
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,0.859536114457,0.619822588581,Nan,0.152581450246,Nan,-0.480918355983,0.298257665886,-0.219830203224,0.556834475596,-0.449741526635,0.533638462597,-0.0445757348994,-0.488654564543,Nan,1.0,0.713121472436,0.0660266625242,-0.41282785509
IL-3,0.539801152234,0.21179225504,Nan,0.310503494095,Nan,-0.166659559489,0.433846914054,-0.442263758559,0.668938276995,0.0825600275971,0.583189037074,0.0489333766039,-0.42942047278,Nan,0.713121472436,1.0,0.0904666186803,-0.0855365575347
OH-8,0.123832480116,0.0267582192003,Nan,0.0898856629108,Nan,-0.0308188242057,0.479001123149,-0.14192115489,0.129853909788,0.082069237181,0.0898853020435,0.0237572269822,0.0227980414736,Nan,0.0660266625242,0.0904666186803,1.0,-0.00195076351568
IA-2,-0.444359166419,-0.52130908082,Nan,0.285626575834,Nan,0.826436729435,-0.17850079603,-0.215855748454,-0.00386731814009,0.641703806467,0.283642730358,0.0331205705077,0.637067283282,Nan,-0.41282785509,-0.0855365575347,-0.00195076351568,1.0
