,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,Nan,0.718603339002,-0.0902493279289,-0.635087280908,Nan,0.390827067375,0.216750305438,-0.314858916296,0.263706425329,-0.453326549523,0.750940327341,0.126344831209,0.103181873949,Nan,-0.21120754615,-0.451763323358,-0.208487915446
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,0.718603339002,Nan,1.0,0.0102290052124,-0.588797137672,Nan,0.468196274357,0.00155283700812,-0.217728207236,0.427833864728,-0.395520981379,0.614072253137,0.578736265539,0.119700322182,Nan,-0.481997470122,-0.271379982972,0.00428393114263
MA-1,-0.0902493279289,Nan,0.0102290052124,1.0,-0.581633424946,Nan,0.0453013691677,-0.216352999797,0.282511514693,0.184947963747,0.182880015904,0.0949761856,0.38430064661,0.312605699308,Nan,-0.27765034335,0.188725495984,-0.723013179272
CA-2,-0.635087280908,Nan,-0.588797137672,-0.581633424946,1.0,Nan,-0.525850198323,0.10994090613,-0.33272929004,-0.393311474262,-0.11021078746,-0.695354609056,-0.394589972377,-0.24274044432,Nan,-0.200830107837,0.035293895558,0.775295859704
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.390827067375,Nan,0.468196274357,0.0453013691677,-0.525850198323,Nan,1.0,0.0437513307368,-0.260763030508,0.620001487933,-0.36473621361,0.560873682416,0.555299962401,0.244805997778,Nan,-0.234143203645,-0.00616030191289,-0.298517564967
CA-4,0.216750305438,Nan,0.00155283700812,-0.216352999797,0.10994090613,Nan,0.0437513307368,1.0,0.105278443122,-0.188285133848,0.255124847121,0.492737827268,-0.254462225879,0.318889416522,Nan,0.0308195179208,-0.178174977692,0.477292322241
NJ-ALL,-0.314858916296,Nan,-0.217728207236,0.282511514693,-0.33272929004,Nan,-0.260763030508,0.105278443122,1.0,-0.257939062448,0.473688192736,0.190999262725,-0.205611385464,0.0310514058563,Nan,0.429091212846,0.0767015390189,-0.174702531466
IA-9,0.263706425329,Nan,0.427833864728,0.184947963747,-0.393311474262,Nan,0.620001487933,-0.188285133848,-0.257939062448,1.0,-0.157980725296,0.434354232495,0.707857704146,0.283924742677,Nan,-0.283197206613,0.0612358256576,-0.350338751797
IA-8,-0.453326549523,Nan,-0.395520981379,0.182880015904,-0.11021078746,Nan,-0.36473621361,0.255124847121,0.473688192736,-0.157980725296,1.0,-0.127597690807,-0.269562274609,-0.259173819269,Nan,0.106412490054,0.271703661704,0.0529087426302
MN-1,0.750940327341,Nan,0.614072253137,0.0949761856,-0.695354609056,Nan,0.560873682416,0.492737827268,0.190999262725,0.434354232495,-0.127597690807,1.0,0.419603165461,0.179491581452,Nan,-0.0744861725989,-0.241763340739,-0.211959395833
IA-15,0.126344831209,Nan,0.578736265539,0.38430064661,-0.394589972377,Nan,0.555299962401,-0.254462225879,-0.205611385464,0.707857704146,-0.269562274609,0.419603165461,1.0,0.538987179702,Nan,-0.320428033246,0.233560019657,-0.334410485924
IA-4,0.103181873949,Nan,0.119700322182,0.312605699308,-0.24274044432,Nan,0.244805997778,0.318889416522,0.0310514058563,0.283924742677,-0.259173819269,0.179491581452,0.538987179702,1.0,Nan,0.00303341223379,-0.0293056922675,-0.319053275607
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,-0.21120754615,Nan,-0.481997470122,-0.27765034335,-0.200830107837,Nan,-0.234143203645,0.0308195179208,0.429091212846,-0.283197206613,0.106412490054,-0.0744861725989,-0.320428033246,0.00303341223379,Nan,1.0,0.121107720963,0.128390709143
OH-8,-0.451763323358,Nan,-0.271379982972,0.188725495984,0.035293895558,Nan,-0.00616030191289,-0.178174977692,0.0767015390189,0.0612358256576,0.271703661704,-0.241763340739,0.233560019657,-0.0293056922675,Nan,0.121107720963,1.0,-0.169898249569
IA-2,-0.208487915446,Nan,0.00428393114263,-0.723013179272,0.775295859704,Nan,-0.298517564967,0.477292322241,-0.174702531466,-0.350338751797,0.0529087426302,-0.211959395833,-0.334410485924,-0.319053275607,Nan,0.128390709143,-0.169898249569,1.0
