,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,Nan,0.711917539624,Nan,Nan,Nan,Nan,Nan,0.268754228553,-0.945487278904
IA-9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,0.711917539624,Nan,1.0,Nan,Nan,Nan,Nan,Nan,0.321464575403,-0.311645840483
MN-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,0.268754228553,Nan,0.321464575403,Nan,Nan,Nan,Nan,Nan,1.0,-0.291992430723
IA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,-0.945487278904,Nan,-0.311645840483,Nan,Nan,Nan,Nan,Nan,-0.291992430723,1.0
