,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,Nan,0.700376321051,0.265921860574,-1.0,Nan,0.532002912421,0.191993526109,-0.611164483764,0.22943749145,-0.539694678922,0.676255868562,-0.0626091755591,Nan,Nan,-0.362206529263,-0.363735687825,0.0310078145716
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,0.700376321051,Nan,1.0,0.275578608996,0.333496604638,Nan,0.466265800142,0.0969429051437,-0.378554039698,0.290834374608,-0.348794105879,0.491284511953,0.126235419332,Nan,Nan,-0.422454126458,-0.226533063623,-0.101307372498
MA-1,0.265921860574,Nan,0.275578608996,1.0,-0.867635746624,Nan,0.410372912766,-0.492676959085,0.101571364625,-0.160791455407,-0.0459648096941,0.528199555964,0.646352683209,Nan,Nan,0.010822928533,-0.0443409445191,0.321786147524
CA-2,-1.0,Nan,0.333496604638,-0.867635746624,1.0,Nan,-0.504642857546,0.225360737122,-0.830110718164,nan,0.610649261516,-0.698221576007,-0.809518982067,Nan,Nan,-0.316895056284,0.162180249922,0.299603597714
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.532002912421,Nan,0.466265800142,0.410372912766,-0.504642857546,Nan,1.0,-0.193356790057,-0.540475807731,0.0957652847562,-0.403689863636,0.663388968947,0.393026246493,Nan,Nan,-0.104506115366,-0.00796780430956,-0.370814776076
CA-4,0.191993526109,Nan,0.0969429051437,-0.492676959085,0.225360737122,Nan,-0.193356790057,1.0,0.01253679016,0.319969045357,-0.47391970397,0.169931845496,-0.56491646743,Nan,Nan,-0.0523726216072,-0.170148885824,0.142902174083
NJ-ALL,-0.611164483764,Nan,-0.378554039698,0.101571364625,-0.830110718164,Nan,-0.540475807731,0.01253679016,1.0,-0.11522916684,0.00107705975146,-0.145890636869,-0.0266539244937,Nan,Nan,0.527141085347,0.379946387529,0.355225877497
IA-9,0.22943749145,Nan,0.290834374608,-0.160791455407,nan,Nan,0.0957652847562,0.319969045357,-0.11522916684,1.0,-0.00952645012539,0.338835477346,-0.223267120566,Nan,Nan,-0.0758284169422,-0.117573087189,0.117299572938
IA-8,-0.539694678922,Nan,-0.348794105879,-0.0459648096941,0.610649261516,Nan,-0.403689863636,-0.47391970397,0.00107705975146,-0.00952645012539,1.0,-0.496660884214,0.568398503045,Nan,Nan,0.160767145597,0.389302763167,0.328245840241
MN-1,0.676255868562,Nan,0.491284511953,0.528199555964,-0.698221576007,Nan,0.663388968947,0.169931845496,-0.145890636869,0.338835477346,-0.496660884214,1.0,0.246058176461,Nan,Nan,-0.153270114267,-0.32827161196,-0.270049835895
IA-15,-0.0626091755591,Nan,0.126235419332,0.646352683209,-0.809518982067,Nan,0.393026246493,-0.56491646743,-0.0266539244937,-0.223267120566,0.568398503045,0.246058176461,1.0,Nan,Nan,-0.0530488647674,0.0297974901059,0.165401440554
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,-0.362206529263,Nan,-0.422454126458,0.010822928533,-0.316895056284,Nan,-0.104506115366,-0.0523726216072,0.527141085347,-0.0758284169422,0.160767145597,-0.153270114267,-0.0530488647674,Nan,Nan,1.0,0.207352197136,0.0945002155356
OH-8,-0.363735687825,Nan,-0.226533063623,-0.0443409445191,0.162180249922,Nan,-0.00796780430956,-0.170148885824,0.379946387529,-0.117573087189,0.389302763167,-0.32827161196,0.0297974901059,Nan,Nan,0.207352197136,1.0,0.123766155431
IA-2,0.0310078145716,Nan,-0.101307372498,0.321786147524,0.299603597714,Nan,-0.370814776076,0.142902174083,0.355225877497,0.117299572938,0.328245840241,-0.270049835895,0.165401440554,Nan,Nan,0.0945002155356,0.123766155431,1.0
