,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,Nan,Nan,0.211534880637,-0.814025403505,Nan,0.00207386562245,Nan,0.457170348004,0.223060536123,-0.283467415764,Nan,0.388457459098,-0.310215605996,Nan,Nan,Nan,-0.380168250164
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,0.211534880637,Nan,Nan,1.0,-0.0179201016367,Nan,0.457232494495,Nan,0.39409182202,0.210541198999,-0.052935236957,Nan,0.625703368805,-0.378880911171,Nan,Nan,Nan,0.302871420239
CA-2,-0.814025403505,Nan,Nan,-0.0179201016367,1.0,Nan,-0.240568053765,Nan,-0.651349225781,-0.20680687973,0.264527187783,Nan,-0.461837833463,0.251745396507,Nan,Nan,Nan,0.35109328549
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.00207386562245,Nan,Nan,0.457232494495,-0.240568053765,Nan,1.0,Nan,0.50333033339,-0.0467603646831,-0.266239371174,Nan,-0.212861964543,-0.306322503163,Nan,Nan,Nan,0.384400013418
CA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,0.457170348004,Nan,Nan,0.39409182202,-0.651349225781,Nan,0.50333033339,Nan,1.0,0.309464071887,-0.0342741673707,Nan,0.429971752856,-0.152703355787,Nan,Nan,Nan,0.512216338888
IA-9,0.223060536123,Nan,Nan,0.210541198999,-0.20680687973,Nan,-0.0467603646831,Nan,0.309464071887,1.0,-0.116541032273,Nan,0.634830717232,-0.191904696984,Nan,Nan,Nan,-0.120561461385
IA-8,-0.283467415764,Nan,Nan,-0.052935236957,0.264527187783,Nan,-0.266239371174,Nan,-0.0342741673707,-0.116541032273,1.0,Nan,0.0500735461438,0.514707388145,Nan,Nan,Nan,0.506728558398
MN-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-15,0.388457459098,Nan,Nan,0.625703368805,-0.461837833463,Nan,-0.212861964543,Nan,0.429971752856,0.634830717232,0.0500735461438,Nan,1.0,-0.124280115499,Nan,Nan,Nan,0.121300586579
IA-4,-0.310215605996,Nan,Nan,-0.378880911171,0.251745396507,Nan,-0.306322503163,Nan,-0.152703355787,-0.191904696984,0.514707388145,Nan,-0.124280115499,1.0,Nan,Nan,Nan,0.291828866454
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
OH-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,-0.380168250164,Nan,Nan,0.302871420239,0.35109328549,Nan,0.384400013418,Nan,0.512216338888,-0.120561461385,0.506728558398,Nan,0.121300586579,0.291828866454,Nan,Nan,Nan,1.0
